b2-16
 & denied & e_i & l_i & e_{n+i} & l_{n+i} & departure & arrival & regret & waiting_time & ride_time & transportation time & km_gebucht & km_gefahren & Sitze
1 & 0 & 145 & 195.22 & 196 & 211 & 195.22 & 211 & 15 & 50.22 & 9.78 & 66 & 9.78 & 9.78 & 6
2 & 0 & 105 & 158.83 & 151 & 166 & 123.75 & 151 & 0 & 18.75 & 6.17 & 46 & 6.17 & 6.17 & 1
3 & 0 & 202 & 252.25 & 252 & 267 & 224.75 & 252 & 0 & 22.75 & 9.75 & 50 & 9.75 & 9.75 & 5
4 & 0 & 357 & 398.69 & 408 & 423 & 398.69 & 423 & 15 & 41.69 & 18.31 & 66 & 18.31 & 18.31 & 6
5 & 0 & 215 & 267.76 & 266 & 281 & 263.29 & 276.53 & 10.53 & 48.29 & 7.24 & 61.53 & 7.24 & 7.24 & 6
6 & 0 & 135 & 189.56 & 181 & 196 & 177.24 & 184.68 & 3.68 & 42.24 & 6.44 & 49.68 & 5.44 & 5.44 & 1
7 & 0 & 293 & 341.35 & 341 & 356 & 297.38 & 341 & 0 & 4.38 & 40.62 & 48 & 11.65 & 34.05 & 3
8 & 0 & 127 & 172.76 & 173 & 188 & 161.52 & 178.91 & 5.91 & 34.52 & 16.39 & 51.91 & 14.24 & 15.39 & 1
9 & 0 & 24 & 39 & 44.69 & 86 & 24.13 & 47.36 & 2.67 & 0.13 & 21.23 & 23.36 & 18.69 & 20.23 & 2
10 & 0 & 25 & 40 & 39.06 & 86 & 40 & 71 & 31.94 & 15 & 30 & 46 & 13.06 & 20.52 & 1
11 & 0 & 307 & 322 & 326.34 & 371 & 307 & 341.34 & 15 & -5.68434e-14 & 24.31 & 34.34 & 15.34 & 15.52 & 4
12 & 0 & 320 & 335 & 331.47 & 383 & 320.17 & 360.18 & 28.71 & 0.17 & 33.44 & 40.18 & 8.47 & 27.44 & 3
13 & 0 & 264 & 279 & 272.52 & 325 & 279 & 325 & 52.48 & 15 & 21.07 & 61 & 7.52 & 11.04 & 1
14 & 0 & 402 & 417 & 414.28 & 465 & 417 & 429.28 & 15 & 15 & 9.28 & 27.28 & 9.28 & 9.28 & 3
15 & 0 & 345 & 360 & 358.27 & 408 & 349.55 & 365.82 & 7.55 & 4.55 & 13.27 & 20.82 & 10.27 & 10.27 & 3
16 & 0 & 163 & 178 & 175.29 & 225 & 163 & 175.29 & 1e-07 & -2.84217e-14 & 10.29 & 12.29 & 10.29 & 10.29 & 2
