b6-60
 & denied & e_i & l_i & e_{n+i} & l_{n+i} & departure & arrival & regret & waiting_time & ride_time & transportation time & km_gebucht & km_gefahren & Sitze
1 & 0 & 380 & 428.14 & 431 & 446 & 409.75 & 431 & 0 & 29.75 & 11.86 & 51 & 11.86 & 11.86 & 6
2 & 0 & 224 & 271.72 & 270 & 285 & 239.55 & 270 & 0 & 15.55 & 29.45 & 46 & 12.28 & 12.3 & 1
3 & 0 & 194 & 243.45 & 243 & 258 & 195.51 & 243 & 1e-07 & 1.51 & 16.36 & 49 & 10.55 & 15.36 & 4
4 & 0 & 193 & 236.9 & 244 & 259 & 206.9 & 244 & 0 & 13.9 & 16.1 & 51 & 16.1 & 16.1 & 6
5 & 0 & 290 & 342.73 & 340 & 355 & 290 & 340 & 0 & 1e-07 & 7.27 & 50 & 7.27 & 7.27 & 5
6 & 0 & 120 & 174.23 & 167 & 182 & 129.25 & 167 & 0 & 9.25 & 35.75 & 47 & 5.77 & 17.07 & 2
7 & 0 & 332 & 383.96 & 381 & 396 & 357.37 & 381 & 0 & 25.37 & 8.04 & 49 & 8.04 & 8.04 & 4
8 & 0 & 507 & 554.39 & 555 & 570 & 517.2 & 555 & 0 & 10.2 & 34.8 & 48 & 12.61 & 12.61 & 3
9 & 0 & 515 & 557.69 & 566 & 581 & 542.69 & 566 & 0 & 27.69 & 17.31 & 51 & 17.31 & 17.31 & 6
10 & 0 & 153 & 209.76 & 201 & 216 & 171.62 & 201 & 0 & 18.62 & 3.24 & 48 & 3.24 & 3.24 & 3
11 & 0 & 109 & 160.69 & 158 & 173 & 118.21 & 158 & 0 & 9.21 & 8.31 & 49 & 8.31 & 8.31 & 4
12 & 0 & 0 & 51.57 & 47 & 62 & 17.4 & 47 & 0 & 17.4 & 4.43 & 47 & 4.43 & 4.43 & 6
13 & 0 & 186 & 227.28 & 237 & 252 & 215.77 & 240.49 & 3.49 & 29.77 & 18.72 & 54.49 & 18.72 & 18.72 & 6
14 & 0 & 351 & 396.55 & 401 & 416 & 389.86 & 409.31 & 8.31 & 38.86 & 14.45 & 58.31 & 14.45 & 14.45 & 5
15 & 0 & 287 & 325.51 & 336 & 351 & 295.12 & 336 & 0 & 8.12 & 36.88 & 49 & 21.49 & 26.95 & 4
16 & 0 & 92 & 135.99 & 140 & 155 & 92 & 140 & 0 & 1e-07 & 16.01 & 48 & 16.01 & 16.01 & 3
17 & 0 & 0 & 45.4 & 45 & 60 & 20 & 45 & 0 & 20 & 11.6 & 45 & 11.6 & 11.6 & 3
18 & 0 & 16 & 65.09 & 65 & 80 & 52.04 & 66.95 & 1.95 & 36.04 & 10.91 & 50.95 & 10.91 & 10.91 & 4
19 & 0 & 347 & 401.72 & 394 & 409 & 351.23 & 398.23 & 4.23 & 4.23 & 29.74 & 51.23 & 5.28 & 18.53 & 2
20 & 0 & 125 & 178.59 & 173 & 188 & 144.9 & 173 & 0 & 19.9 & 25.1 & 48 & 6.41 & 6.42 & 3
21 & 0 & 210 & 259.2 & 259 & 274 & 225 & 259 & 0 & 15 & 10.8 & 49 & 10.8 & 10.8 & 4
22 & 0 & 492 & 544.53 & 541 & 556 & 525.58 & 541 & 0 & 33.58 & 7.47 & 49 & 7.47 & 7.47 & 4
23 & 0 & 471 & 513.88 & 522 & 537 & 497.92 & 522 & 0 & 26.92 & 17.12 & 51 & 17.12 & 17.12 & 6
24 & 0 & 536 & 591.94 & 584 & 599 & 576.94 & 586.58 & 2.58 & 40.94 & 4.06 & 50.58 & 4.06 & 4.06 & 3
25 & 0 & 471 & 522.8 & 517 & 532 & 480.95 & 517 & 0 & 9.95 & 29.01 & 46 & 8.2 & 15.84 & 1
26 & 0 & 11 & 63.88 & 60 & 75 & 11 & 60 & 0 & 1e-07 & 7.12 & 49 & 7.12 & 7.12 & 4
27 & 0 & 275 & 316.63 & 326 & 341 & 313.96 & 338.33 & 12.33 & 38.96 & 18.37 & 63.33 & 18.37 & 18.37 & 6
