b4-24
 & denied & e_i & l_i & e_{n+i} & l_{n+i} & departure & arrival & regret & waiting_time & ride_time & transportation time & km_gebucht & km_gefahren & Sitze
1 & 0 & 106 & 158.78 & 155 & 170 & 127.52 & 155 & 0 & 21.52 & 7.22 & 49 & 7.22 & 7.22 & 4
2 & 0 & 263 & 304.34 & 313 & 328 & 292.75 & 316.41 & 3.41 & 29.75 & 18.66 & 53.41 & 18.66 & 18.66 & 5
3 & 0 & 235 & 287.26 & 284 & 299 & 254.05 & 284 & 0 & 19.05 & 7.74 & 49 & 7.74 & 7.74 & 4
4 & 0 & 188 & 236.63 & 235 & 250 & 208 & 235 & 0 & 20 & 11.37 & 47 & 11.37 & 11.37 & 2
5 & 0 & 288 & 344.17 & 339 & 354 & 334.6 & 344.43 & 5.43 & 46.6 & 3.83 & 56.43 & 3.83 & 3.83 & 6
6 & 0 & 281 & 333.64 & 331 & 346 & 333.56 & 345.92 & 14.92 & 52.56 & 7.36 & 64.92 & 7.36 & 7.36 & 5
7 & 0 & 288 & 337.9 & 337 & 352 & 337.24 & 351.34 & 14.34 & 49.24 & 10.1 & 63.34 & 10.1 & 10.1 & 4
8 & 0 & 264 & 315.2 & 313 & 328 & 300.2 & 313 & -2.84217e-13 & 36.2 & 8.8 & 49 & 8.8 & 8.8 & 4
9 & 0 & 130 & 178.79 & 178 & 193 & 164.2 & 184.2 & 6.2 & 34.2 & 17 & 54.2 & 11.21 & 15 & 3
10 & 0 & 132 & 185.77 & 178 & 193 & 172.3 & 179.53 & 1.53 & 40.3 & 6.23 & 47.53 & 6.23 & 6.23 & 1
11 & 0 & 262 & 320.49 & 313 & 328 & 311.56 & 319.07 & 6.07 & 49.56 & 1.51 & 57.07 & 1.51 & 1.51 & 6
12 & 0 & 25 & 79.76 & 71 & 86 & 36.26 & 71 & 0 & 11.26 & 5.24 & 46 & 5.24 & 5.24 & 1
13 & 0 & 182 & 197 & 196.49 & 243 & 182 & 196.49 & 1e-07 & -5.68434e-14 & 13.49 & 14.49 & 13.49 & 13.49 & 1
14 & 0 & 119 & 134 & 124.92 & 181 & 119 & 124.92 & 1e-07 & -2.84217e-14 & 3.92 & 5.92 & 3.92 & 3.92 & 2
15 & 0 & 277 & 292 & 288.36 & 340 & 277 & 288.36 & 0 & 0 & 8.36 & 11.36 & 8.36 & 8.36 & 3
16 & 0 & 184 & 199 & 194.49 & 247 & 190.26 & 204.47 & 9.98 & 6.26 & 11.21 & 20.47 & 7.49 & 10.21 & 3
17 & 0 & 298 & 313 & 311.43 & 364 & 301.06 & 314.49 & 3.06 & 3.06 & 7.43 & 16.49 & 7.43 & 7.43 & 6
18 & 0 & 210 & 225 & 229.93 & 276 & 225 & 244.93 & 15 & 15 & 13.93 & 34.93 & 13.93 & 13.93 & 6
19 & 0 & 106 & 121 & 116.61 & 169 & 106 & 116.61 & 1e-07 & -2.84217e-14 & 7.61 & 10.61 & 7.61 & 7.61 & 3
20 & 0 & 147 & 162 & 165.8 & 210 & 155.59 & 200.61 & 34.81 & 8.59 & 29.75 & 53.61 & 15.8 & 27.75 & 3
21 & 0 & 34 & 49 & 40.12 & 95 & 34 & 40.12 & 1e-07 & -1.42109e-14 & 5.12 & 6.12 & 5.12 & 5.12 & 1
22 & 0 & 189 & 204 & 203.72 & 250 & 196.1 & 213.89 & 10.17 & 7.1 & 16.79 & 24.89 & 13.72 & 13.79 & 1
23 & 0 & 270 & 285 & 295.29 & 336 & 270 & 295.29 & 0 & -5.68434e-14 & 19.29 & 25.29 & 19.29 & 19.29 & 6
24 & 0 & 268 & 283 & 276.85 & 334 & 268 & 276.85 & 0 & -5.68434e-14 & 2.85 & 8.85 & 2.85 & 2.85 & 6
