b3-24
 & denied & e_i & l_i & e_{n+i} & l_{n+i} & departure & arrival & regret & waiting_time & ride_time & transportation time & km_gebucht & km_gefahren & Sitze
1 & 0 & 168 & 219.89 & 214 & 229 & 195.77 & 225.53 & 11.53 & 27.77 & 16.48 & 57.53 & 8.11 & 12.65 & 1
2 & 0 & 355 & 396.47 & 401 & 416 & 373.75 & 401 & 0 & 18.75 & 18.53 & 46 & 18.53 & 18.53 & 1
3 & 0 & 82 & 130.87 & 133 & 148 & 102.89 & 133 & 0 & 20.89 & 11.13 & 51 & 11.13 & 11.13 & 6
4 & 0 & 177 & 227.96 & 223 & 238 & 183.11 & 229.11 & 6.11 & 6.11 & 39.69 & 52.11 & 9.04 & 33.69 & 1
5 & 0 & 303 & 358.33 & 349 & 364 & 308.31 & 349 & 0 & 5.31 & 24.69 & 46 & 4.67 & 17.26 & 1
6 & 0 & 158 & 207.35 & 204 & 219 & 173 & 204 & 0 & 15 & 26.01 & 46 & 10.65 & 19.7 & 1
7 & 0 & 201 & 255.02 & 249 & 264 & 255.02 & 264 & 15 & 54.02 & 5.98 & 63 & 5.98 & 5.98 & 3
8 & 0 & 107 & 162.14 & 155 & 170 & 157.74 & 165.6 & 10.6 & 50.74 & 4.86 & 58.6 & 4.86 & 4.86 & 3
9 & 0 & 104 & 150.47 & 153 & 168 & 125.66 & 153 & 0 & 21.66 & 13.53 & 49 & 13.53 & 13.53 & 4
10 & 0 & 360 & 416.61 & 410 & 425 & 375.46 & 410 & 0 & 15.46 & 3.39 & 50 & 3.39 & 3.39 & 5
11 & 0 & 61 & 113.17 & 112 & 127 & 76.14 & 112 & 0 & 15.14 & 7.83 & 51 & 7.83 & 7.83 & 6
12 & 0 & 273 & 318.58 & 319 & 334 & 288 & 334 & 15 & 15 & 36.63 & 61 & 14.42 & 20.63 & 1
13 & 0 & 352 & 367 & 362.19 & 415 & 352 & 362.86 & 0.669999 & -5.68434e-14 & 7.19 & 10.86 & 7.19 & 7.19 & 3
14 & 0 & 218 & 233 & 246.08 & 283 & 233 & 268 & 21.92 & 15 & 30 & 50 & 23.08 & 23.4 & 5
15 & 0 & 93 & 108 & 110.9 & 159 & 93 & 110.9 & 1e-07 & -2.84217e-14 & 11.9 & 17.9 & 11.9 & 11.9 & 6
16 & 0 & 206 & 221 & 223.11 & 271 & 206.87 & 237.89 & 14.78 & 0.87 & 26.02 & 31.89 & 12.11 & 25.02 & 5
17 & 0 & 218 & 233 & 231.44 & 284 & 229.03 & 242.47 & 11.03 & 11.03 & 7.44 & 24.47 & 7.44 & 7.44 & 6
18 & 0 & 1 & 16 & 11.3 & 66 & 3.96 & 26.3 & 15 & 2.96 & 5.3 & 25.3 & 5.3 & 5.3 & 5
19 & 0 & 381 & 396 & 396.15 & 447 & 381 & 396.15 & 0 & 0 & 9.15 & 15.15 & 9.15 & 9.15 & 6
20 & 0 & 324 & 339 & 334.01 & 388 & 329 & 339.01 & 5 & 5 & 6.01 & 15.01 & 6.01 & 6.01 & 4
21 & 0 & 39 & 54 & 48.62 & 105 & 54 & 63.62 & 15 & 15 & 3.62 & 24.62 & 3.62 & 3.62 & 6
22 & 0 & 25 & 40 & 43.83 & 91 & 40 & 58.83 & 15 & 15 & 12.83 & 33.83 & 12.83 & 12.83 & 6
23 & 0 & 418 & 433 & 430.78 & 479 & 433 & 445.78 & 15 & 15 & 11.78 & 27.78 & 11.78 & 11.78 & 1
24 & 0 & 216 & 231 & 222.13 & 277 & 216 & 249.88 & 27.75 & -5.68434e-14 & 30.05 & 33.88 & 5.13 & 24.05 & 1
