b3-36
 & denied & e_i & l_i & e_{n+i} & l_{n+i} & departure & arrival & regret & waiting_time & ride_time & transportation time & km_gebucht & km_gefahren & Sitze
1 & 0 & 517 & 573.63 & 563 & 578 & 524.89 & 563 & 0 & 7.89 & 37.11 & 46 & 3.37 & 7.3 & 1
2 & 0 & 293 & 335.09 & 340 & 355 & 299.87 & 340 & 0 & 6.87 & 38.13 & 47 & 17.91 & 17.91 & 2
3 & 0 & 326 & 378.17 & 373 & 388 & 353.08 & 373 & 0 & 27.08 & 7.83 & 47 & 7.83 & 7.83 & 2
4 & 0 & 107 & 159.52 & 157 & 172 & 157.7 & 170.18 & 13.18 & 50.7 & 7.48 & 63.18 & 7.48 & 7.48 & 5
5 & 0 & 97 & 145.98 & 144 & 159 & 138.84 & 151.86 & 7.86 & 41.84 & 11.02 & 54.86 & 11.02 & 11.02 & 2
6 & 0 & 519 & 571.68 & 570 & 585 & 556.68 & 570 & 0 & 37.68 & 7.32 & 51 & 7.32 & 7.32 & 6
7 & 0 & 63 & 106.42 & 109 & 124 & 80.86 & 109 & 0 & 17.86 & 27.14 & 46 & 16.58 & 17.37 & 1
8 & 0 & 295 & 341.5 & 345 & 360 & 322.5 & 345 & 0 & 27.5 & 13.5 & 50 & 13.5 & 13.5 & 5
9 & 0 & 609 & 666.48 & 660 & 675 & 666.48 & 675 & 15 & 57.48 & 2.52 & 66 & 2.52 & 2.52 & 6
10 & 0 & 596 & 652.65 & 647 & 662 & 637.65 & 647 & 0 & 41.65 & 3.35 & 51 & 3.35 & 3.35 & 6
11 & 0 & 335 & 386.04 & 385 & 400 & 371.04 & 385 & 1e-07 & 36.04 & 8.96 & 50 & 8.96 & 8.96 & 5
12 & 0 & 333 & 381.75 & 381 & 396 & 375.82 & 390.07 & 9.07 & 42.82 & 11.25 & 57.07 & 11.25 & 11.25 & 3
13 & 0 & 465 & 512.49 & 516 & 531 & 487.14 & 516 & 0 & 22.14 & 12.51 & 51 & 12.51 & 12.51 & 6
14 & 0 & 561 & 608.57 & 608 & 623 & 586.98 & 608 & 0 & 25.98 & 12.43 & 47 & 12.43 & 12.43 & 2
15 & 0 & 21 & 70.39 & 72 & 87 & 49.54 & 72 & 0 & 28.54 & 10.61 & 51 & 10.61 & 10.61 & 6
16 & 0 & 83 & 130.04 & 134 & 149 & 129.67 & 148.63 & 14.63 & 46.67 & 12.96 & 65.63 & 12.96 & 12.96 & 6
17 & 0 & 368 & 409.9 & 419 & 434 & 389.75 & 419 & 0 & 21.75 & 18.1 & 51 & 18.1 & 18.1 & 6
18 & 0 & 549 & 595.21 & 596 & 611 & 564 & 596 & 0 & 15 & 30 & 47 & 13.79 & 15.1 & 2
19 & 0 & 117 & 132 & 141.93 & 183 & 132 & 156.93 & 15 & 15 & 18.93 & 39.93 & 18.93 & 18.93 & 6
20 & 0 & 350 & 365 & 360.06 & 412 & 350 & 360.06 & 1e-07 & -5.68434e-14 & 8.06 & 10.06 & 8.06 & 8.06 & 2
21 & 0 & 630 & 645 & 646.87 & 694 & 630 & 652.38 & 5.51 & 0 & 18.38 & 22.38 & 12.87 & 15.8 & 4
22 & 0 & 546 & 561 & 556.95 & 607 & 546 & 574.08 & 17.13 & -1.13687e-13 & 11.96 & 28.08 & 9.95 & 9.96 & 1
23 & 0 & 97 & 112 & 117.46 & 162 & 97 & 117.46 & 1e-07 & -2.84217e-14 & 15.46 & 20.46 & 15.46 & 15.46 & 5
24 & 0 & 97 & 112 & 117.25 & 163 & 97 & 117.25 & 0 & -2.84217e-14 & 14.25 & 20.25 & 14.25 & 14.25 & 6
25 & 0 & 73 & 88 & 91.48 & 138 & 73 & 92.67 & 1.19 & -1.42109e-14 & 14.67 & 19.67 & 13.48 & 13.67 & 5
26 & 0 & 195 & 210 & 208.93 & 256 & 196.9 & 242.9 & 33.97 & 1.9 & 27.73 & 47.9 & 12.93 & 21.73 & 1
27 & 0 & 263 & 278 & 274.7 & 326 & 278 & 308.47 & 33.77 & 15 & 23.44 & 45.47 & 8.7 & 21.44 & 3
28 & 0 & 419 & 434 & 435.19 & 484 & 434 & 450.19 & 15 & 15 & 11.19 & 31.19 & 11.19 & 11.19 & 5
29 & 0 & 201 & 216 & 214.31 & 265 & 208.17 & 221.48 & 7.17 & 7.17 & 9.31 & 20.48 & 9.31 & 9.31 & 4
30 & 0 & 503 & 518 & 511.54 & 565 & 512.72 & 530.9 & 19.36 & 9.72 & 7.69 & 27.9 & 6.54 & 6.69 & 2
31 & 0 & 432 & 447 & 447.51 & 498 & 447 & 462.51 & 15 & 15 & 9.51 & 30.51 & 9.51 & 9.51 & 6
32 & 0 & 434 & 449 & 445.63 & 496 & 449 & 460.63 & 15 & 15 & 9.63 & 26.63 & 9.63 & 9.63 & 2
33 & 0 & 593 & 608 & 600.84 & 655 & 601.38 & 640.51 & 39.67 & 8.38 & 14.11 & 47.51 & 5.84 & 10.11 & 2
34 & 0 & 12 & 27 & 27.15 & 75 & 14 & 29.15 & 2 & 2 & 12.15 & 17.15 & 12.15 & 12.15 & 3
35 & 0 & 616 & 631 & 624.96 & 677 & 616 & 625.26 & 0.3 & 0 & 7.96 & 9.26 & 7.96 & 7.96 & 1
36 & 0 & 220 & 235 & 228.91 & 283 & 220 & 228.91 & 1e-07 & -5.68434e-14 & 5.91 & 8.91 & 5.91 & 5.91 & 3
