b2-24
 & denied & e_i & l_i & e_{n+i} & l_{n+i} & departure & arrival & regret & waiting_time & ride_time & transportation time & km_gebucht & km_gefahren & Sitze
1 & 0 & 269 & 318.71 & 317 & 332 & 275.96 & 317 & 0 & 6.96 & 38.04 & 48 & 10.29 & 13.85 & 3
2 & 0 & 230 & 278.94 & 276 & 291 & 245.38 & 291 & 15 & 15.38 & 44.62 & 61 & 11.06 & 29.7 & 1
3 & 0 & 135 & 186.74 & 183 & 198 & 185.45 & 196.71 & 13.71 & 50.45 & 8.26 & 61.71 & 8.26 & 8.26 & 3
4 & 0 & 433 & 482.19 & 479 & 494 & 448 & 494 & 15 & 15 & 45 & 61 & 10.81 & 31.99 & 1
5 & 0 & 375 & 431.47 & 422 & 437 & 415.69 & 422 & 0 & 40.69 & 3.53 & 47 & 3.53 & 3.53 & 2
6 & 0 & 432 & 480.11 & 483 & 498 & 469.25 & 487.14 & 4.14 & 37.25 & 11.89 & 55.14 & 11.89 & 11.89 & 6
7 & 0 & 328 & 384.05 & 378 & 393 & 364.92 & 378 & 0 & 36.92 & 3.95 & 50 & 3.95 & 3.95 & 5
8 & 0 & 147 & 199.39 & 196 & 211 & 169.75 & 196 & 0 & 22.75 & 7.61 & 49 & 7.61 & 7.61 & 4
9 & 0 & 552 & 604.88 & 599 & 614 & 587.75 & 599 & 0 & 35.75 & 7.12 & 47 & 7.12 & 7.12 & 2
10 & 0 & 292 & 340.57 & 343 & 358 & 319.75 & 343 & 0 & 27.75 & 11.43 & 51 & 11.43 & 11.43 & 6
11 & 0 & 429 & 471.94 & 476 & 491 & 459.31 & 487.38 & 11.38 & 30.31 & 17.06 & 58.38 & 17.06 & 17.06 & 2
12 & 0 & 346 & 389.46 & 395 & 410 & 373.37 & 400.86 & 5.86 & 27.37 & 23.49 & 54.86 & 16.54 & 21.49 & 4
13 & 0 & 439 & 454 & 455.2 & 503 & 439 & 455.2 & 0 & -1.13687e-13 & 12.2 & 16.2 & 12.2 & 12.2 & 4
14 & 0 & 554 & 569 & 567.41 & 619 & 554 & 567.41 & 1e-07 & -1.13687e-13 & 8.41 & 13.41 & 8.41 & 8.41 & 5
15 & 0 & 361 & 376 & 376.68 & 423 & 361 & 385.27 & 8.59 & -5.68434e-14 & 22.27 & 24.27 & 13.68 & 18.27 & 2
16 & 0 & 207 & 222 & 231.18 & 268 & 211.1 & 253.54 & 22.36 & 4.1 & 30.54 & 46.54 & 23.18 & 29.54 & 1
17 & 0 & 211 & 226 & 228.31 & 276 & 213.62 & 230.93 & 2.62 & 2.62 & 12.31 & 19.93 & 12.31 & 12.31 & 5
18 & 0 & 640 & 655 & 657.1 & 705 & 655 & 672.1 & 15 & 15 & 12.1 & 32.1 & 12.1 & 12.1 & 5
19 & 0 & 37 & 52 & 46.1 & 102 & 52 & 61.1 & 15 & 15 & 4.1 & 24.1 & 4.1 & 4.1 & 5
20 & 0 & 111 & 126 & 135.59 & 175 & 126 & 150.59 & 15 & 15 & 20.59 & 39.59 & 20.59 & 20.59 & 4
21 & 0 & 165 & 180 & 176.41 & 227 & 165.75 & 177.16 & 0.75 & 0.75 & 9.41 & 12.16 & 9.41 & 9.41 & 2
22 & 0 & 499 & 514 & 522.86 & 565 & 499 & 522.86 & 0 & -1.13687e-13 & 17.86 & 23.86 & 17.86 & 17.86 & 6
23 & 0 & 518 & 533 & 537.09 & 581 & 532.87 & 551.96 & 14.87 & 14.87 & 16.09 & 33.96 & 16.09 & 16.09 & 3
24 & 0 & 629 & 644 & 636.88 & 695 & 629 & 636.88 & 0 & 0 & 1.88 & 7.88 & 1.88 & 1.88 & 6
