b3-18
 & denied & e_i & l_i & e_{n+i} & l_{n+i} & departure & arrival & regret & waiting_time & ride_time & transportation time & km_gebucht & km_gefahren & Sitze
1 & 0 & 116 & 166.35 & 167 & 182 & 151.35 & 167 & 0.0001998 & 35.3501 & 9.65 & 51.0002 & 9.65 & 9.65 & 6
2 & 0 & 86 & 137.99 & 133 & 148 & 86.0001 & 133 & 9.99e-05 & 0.0001001 & 8.01 & 47.0001 & 8.01 & 8.01 & 2
3 & 0 & 223 & 280.5 & 271 & 286 & 243 & 271 & 0 & 20 & 2.5 & 48 & 2.5 & 2.5 & 3
4 & 0 & 89 & 138.49 & 138 & 153 & 107.33 & 150.53 & 12.5303 & 18.33 & 36.8902 & 61.5303 & 10.51 & 31.89 & 4
5 & 0 & 132 & 182.2 & 183 & 198 & 181.04 & 196.84 & 13.8403 & 49.0402 & 9.8 & 64.8403 & 9.8 & 9.8 & 6
6 & 0 & 125 & 174.26 & 171 & 186 & 146.94 & 171 & 9.99e-05 & 21.9402 & 23.0598 & 46.0001 & 10.74 & 13.39 & 1
7 & 0 & 127 & 170.32 & 177 & 192 & 164.03 & 189.66 & 12.6601 & 37.0303 & 19.96 & 62.6601 & 16.68 & 18.96 & 5
8 & 0 & 233 & 278.91 & 280 & 295 & 244.16 & 280 & 0 & 11.1601 & 33.84 & 47 & 14.09 & 14.49 & 2
9 & 0 & 21 & 71.8 & 72 & 87 & 56.8001 & 72.0001 & 9.99e-05 & 35.8001 & 9.2 & 51.0001 & 9.2 & 9.2 & 6
10 & 0 & 243 & 258 & 251.76 & 306 & 258 & 290.24 & 38.48 & 15 & 12.89 & 47.24 & 5.76 & 10.89 & 3
11 & 0 & 119 & 134 & 133.04 & 181 & 119 & 133.04 & 9.99e-05 & 9.99e-05 & 12.04 & 14.0401 & 12.04 & 12.04 & 2
12 & 0 & 284 & 299 & 298.71 & 348 & 299 & 313.71 & 15 & 15 & 10.71 & 29.71 & 10.71 & 10.71 & 4
13 & 0 & 218 & 233 & 231.24 & 283 & 218 & 231.24 & 0.0002 & 9.99e-05 & 8.24 & 13.2402 & 8.24 & 8.24 & 5
14 & 0 & 35 & 50 & 51.18 & 99 & 35.0001 & 51.1801 & 0.0001001 & 9.99e-05 & 12.18 & 16.1801 & 12.18 & 12.18 & 4
15 & 0 & 237 & 252 & 254.1 & 303 & 242.57 & 259.67 & 5.5702 & 5.5702 & 11.1 & 22.6702 & 11.1 & 11.1 & 6
16 & 0 & 66 & 81 & 76.44 & 127 & 66.0001 & 84.7202 & 8.2802 & 9.99e-05 & 17.7201 & 18.7202 & 9.44 & 13.72 & 1
17 & 0 & 189 & 204 & 215.16 & 253 & 197.63 & 223.79 & 8.6303 & 8.6302 & 22.16 & 34.7903 & 22.16 & 22.16 & 4
18 & 0 & 75 & 90 & 88.43 & 139 & 77.5401 & 92.0002 & 3.5702 & 2.5401 & 10.46 & 17.0002 & 9.43 & 9.46 & 4
