7 170 420 6 0
0 0.0 0 0.0 420.0 420.0
1 0.75 1 0.0 25.0 13.233751999999999
2 0.75 1 1.0 26.0 15.431714
3 0.75 1 3.0 28.0 14.509988
4 0.75 1 4.0 29.0 10.56311
5 0.75 1 5.0 30.0 19.496762
6 0.75 2 7.0 32.0 13.210118
7 0.75 1 7.0 32.0 13.257386
8 0.75 1 8.0 33.0 13.824602
9 0.75 1 10.0 35.0 20.040344
10 0.75 2 11.0 36.0 16.873388
11 0.75 1 12.0 37.0 21.55292
12 0.75 1 18.0 43.0 14.226379999999999
13 0.75 1 20.0 45.0 21.600188000000003
14 0.75 1 30.0 55.0 10.846718
15 0.75 1 30.0 55.0 13.848236
16 0.75 1 30.0 55.0 15.597152
17 0.75 1 35.0 60.0 20.394854
18 0.75 1 35.0 60.0 11.673908
19 0.75 1 35.0 60.0 16.447976
20 0.75 1 38.0 63.0 27.662319999999998
21 0.75 1 39.0 64.0 15.975296
22 0.75 1 42.0 67.0 18.575036
23 0.75 1 44.0 69.0 11.957516
24 0.75 1 45.0 70.0 18.12599
25 0.75 2 47.0 72.0 17.77148
26 0.75 1 50.0 75.0 14.557255999999999
27 0.75 1 50.0 75.0 11.957516
28 0.75 1 52.0 77.0 10.846718
29 0.75 1 54.0 79.0 17.88965
30 0.75 1 60.0 85.0 15.786223999999999
31 0.75 1 60.0 85.0 15.40808
32 0.75 1 62.0 87.0 16.188001999999997
33 0.75 1 65.0 90.0 20.891168
34 0.75 1 69.0 94.0 19.945808
35 0.75 1 77.0 102.0 16.188001999999997
36 0.75 1 101.0 126.0 13.351922
37 0.75 2 110.0 135.0 14.462720000000001
38 0.75 1 111.0 136.0 14.273648
39 0.75 1 113.0 138.0 19.473128000000003
40 0.75 1 124.0 149.0 10.492208
41 0.75 1 142.0 167.0 18.59867
42 0.75 1 153.0 178.0 14.840864
43 0.75 1 182.0 207.0 13.446458
44 0.75 1 207.0 232.0 11.62664
45 0.75 2 246.0 271.0 12.241124
46 0.75 1 248.0 273.0 19.851272
47 0.75 1 254.0 279.0 16.377074
48 0.75 1 276.0 301.0 12.264758
49 0.75 1 278.0 303.0 17.204264
50 0.75 5 281.0 306.0 19.54403
51 0.75 1 294.0 319.0 18.173258
52 0.75 1 299.0 324.0 19.922174000000002
53 0.75 1 300.0 325.0 12.572
54 0.75 1 301.0 326.0 15.52625
55 0.75 1 302.0 327.0 12.737438000000001
56 0.75 1 303.0 328.0 17.88965
57 0.75 1 303.0 328.0 13.800968000000001
58 0.75 1 305.0 330.0 14.486353999999999
59 0.75 1 308.0 333.0 12.501097999999999
60 0.75 1 308.0 333.0 14.675425999999998
61 0.75 1 308.0 333.0 19.945808
62 0.75 1 309.0 334.0 15.975296
63 0.75 1 310.0 335.0 19.756736
64 0.75 1 312.0 337.0 17.511505999999997
65 0.75 1 313.0 338.0 17.676944
66 0.75 1 317.0 342.0 16.802486000000002
67 0.75 3 321.0 346.0 15.029936
68 0.75 1 327.0 352.0 13.04468
69 0.75 1 328.0 353.0 13.328288
70 0.75 1 330.0 355.0 14.628157999999999
71 0.75 1 331.0 356.0 14.58089
72 0.75 3 333.0 358.0 17.676944
73 0.75 1 334.0 359.0 17.676944
74 0.75 1 336.0 361.0 12.501097999999999
75 0.75 1 340.0 365.0 15.148105999999999
76 0.75 1 340.0 365.0 17.511505999999997
77 0.75 1 341.0 366.0 16.377074
78 0.75 1 341.0 366.0 20.016710000000003
79 0.75 1 342.0 367.0 13.328288
80 0.75 1 342.0 367.0 18.267794000000002
81 0.75 1 346.0 371.0 18.527768000000002
82 0.75 1 346.0 371.0 12.619268
83 0.75 1 348.0 373.0 12.193856
84 0.75 1 349.0 374.0 13.351922
85 0.75 1 352.0 377.0 16.82612
86 0.75 -1 3.983752 38.983751999999996 13.233751999999999
87 0.75 -1 7.1817139999999995 42.181714 15.431714
88 0.75 -1 8.259988 43.259988 14.509988
89 0.75 -1 5.31311 40.31311 10.56311
90 0.75 -1 15.246762 50.246762000000004 19.496762
91 0.75 -2 10.960118000000001 45.960118 13.210118
92 0.75 -1 11.007386 46.007386 13.257386
93 0.75 -1 12.574602 47.574602 13.824602
94 0.75 -1 20.790344 55.790344000000005 20.040344
95 0.75 -2 18.623388000000002 53.623388 16.873388
96 0.75 -1 24.30292 59.30292 21.55292
97 0.75 -1 22.976380000000002 57.97638 14.226379999999999
